id;search_type;search_query;search_parameters;agency_id;provider_id;frequency;last_run_at;next_run_at;is_active;priority;results_count;total_runs;successful_runs;failed_runs;last_error;tags;notes;created_at;updated_at;created_by
4334bfc3-e6a0-4b80-99af-f988e5b01664;agency;"""MTA"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Baltimore, MD""}";64ae4edd-124c-4e89-a3a9-5147db9517ae;;daily;;2025-11-20 01:34:11.39223+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for MTA;2025-11-20 01:34:11.39223+00;2025-11-20 01:34:11.39223+00;2babc540-acbb-4012-a198-971125628657
d0982bb8-5ab3-4b56-84a8-89d18ec4d588;agency;"""METRO"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Houston, TX""}";4b6ce5dc-3133-413e-9172-5a4f4e6702ef;;daily;;2025-11-20 01:34:11.620179+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for METRO;2025-11-20 01:34:11.620179+00;2025-11-20 01:34:11.620179+00;2babc540-acbb-4012-a198-971125628657
7e90c91e-29ac-4326-a6f5-94dd07b06609;agency;"""METRO"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Houston, TX""}";4b6ce5dc-3133-413e-9172-5a4f4e6702ef;;daily;;2025-11-20 01:34:11.853363+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for METRO;2025-11-20 01:34:11.853363+00;2025-11-20 01:34:11.853363+00;2babc540-acbb-4012-a198-971125628657
7275e4ad-2897-45bb-bdde-ac61e92230a4;agency;"""Pace Suburban Bus"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Arlington Heights, IL""}";aca591d0-014b-47cc-88aa-033c56096419;;daily;;2025-11-20 01:34:12.084434+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Pace Suburban Bus;2025-11-20 01:34:12.084434+00;2025-11-20 01:34:12.084434+00;2babc540-acbb-4012-a198-971125628657
e05de5a3-b9c3-441f-889c-18c5197e2cd5;agency;"""Pace Suburban Bus"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Arlington Heights, IL""}";aca591d0-014b-47cc-88aa-033c56096419;;daily;;2025-11-20 01:34:12.31273+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Pace Suburban Bus;2025-11-20 01:34:12.31273+00;2025-11-20 01:34:12.31273+00;2babc540-acbb-4012-a198-971125628657
00c766c0-2131-4006-9011-6803a45f85c8;agency;"""New Jersey Transit Corporation"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Newark, NJ""}";2fc17da0-277a-42f8-b519-ae3cd8039e11;;daily;2025-11-20 03:53:57.891946+00;2025-11-21 03:53:57.891946+00;true;medium;10;1;1;0;;"[""agency-news"",""general""]";General news for New Jersey Transit Corporation;2025-11-20 01:34:07.77131+00;2025-11-20 03:53:57.891946+00;2babc540-acbb-4012-a198-971125628657
11a3d21c-c4ca-4e81-aa14-dccf67f7fca5;agency;"""New Jersey Transit Corporation"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Newark, NJ""}";2fc17da0-277a-42f8-b519-ae3cd8039e11;;daily;2025-11-20 03:54:02.14972+00;2025-11-21 03:54:02.14972+00;true;high;8;1;1;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for New Jersey Transit Corporation;2025-11-20 01:34:08.011109+00;2025-11-20 03:54:02.14972+00;2babc540-acbb-4012-a198-971125628657
89924b1a-f90e-4459-ad8a-02d56190031f;agency;"""Washington Metro"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Washington, DC""}";dc154c04-c116-4a1e-a370-ade4c0d29aaa;;daily;2025-11-20 03:54:06.006556+00;2025-11-21 03:54:06.006556+00;true;medium;10;1;1;0;;"[""agency-news"",""general""]";General news for Washington Metro;2025-11-20 01:34:08.242782+00;2025-11-20 03:54:06.006556+00;2babc540-acbb-4012-a198-971125628657
da56430b-8709-414e-816d-be64dd390151;agency;"""Southeastern Pennsylvania Transportation Authority"" transit news OR announcement OR contract";"{""date_range"":""past_week"",""location"":""Philadelphia, PA""}";88833f34-dffe-4edd-8ded-89df28396b7b;;daily;;2025-11-20 01:34:10.672452+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";General news for Southeastern Pennsylvania Transportation Authority;2025-11-20 01:34:10.672452+00;2025-11-20 04:38:25.848559+00;2babc540-acbb-4012-a198-971125628657
70018932-42e6-4a97-97df-f1bccbf299a5;agency;"""County of Miami-Dade"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Miami, FL""}";978894e1-3163-449a-a80b-7fce8464741e;;daily;;2025-11-20 01:34:12.556873+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for County of Miami-Dade;2025-11-20 01:34:12.556873+00;2025-11-20 01:34:12.556873+00;2babc540-acbb-4012-a198-971125628657
e0b99e91-46ac-44e9-9660-48be5aafdbe3;agency;"""MTA Long Island Rail Road"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""New York, NY""}";1f908e09-ecd0-42c1-862a-1f14a0aaf8a4;;daily;;2025-11-20 01:34:13.966556+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for MTA Long Island Rail Road;2025-11-20 01:34:13.966556+00;2025-11-20 01:34:13.966556+00;2babc540-acbb-4012-a198-971125628657
92cecc73-2c84-4047-88e8-a8fd7db67387;agency;"""Utah Transit Authority"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Salt Lake City, UT""}";e459bdc6-71d0-4a16-8d1a-a247feb399cc;;daily;;2025-11-20 01:34:14.74618+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Utah Transit Authority;2025-11-20 01:34:14.74618+00;2025-11-20 01:34:14.74618+00;2babc540-acbb-4012-a198-971125628657
f772b653-acf7-41d1-b2cc-d934a255548f;agency;"""Dallas Area Rapid Transit"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Dallas, TX""}";f838f316-3d08-4441-970f-ade36e0c2ae3;;daily;;2025-11-20 01:34:15.439044+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Dallas Area Rapid Transit;2025-11-20 01:34:15.439044+00;2025-11-20 01:34:15.439044+00;2babc540-acbb-4012-a198-971125628657
c8896b91-6b40-4c76-b17a-5a58fb5e821c;agency;"""RTD-Denver"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Denver, CO""}";72932ba8-213a-4598-a03e-1f726d39ebef;;daily;;2025-11-20 01:34:16.132238+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for RTD-Denver;2025-11-20 01:34:16.132238+00;2025-11-20 01:34:16.132238+00;2babc540-acbb-4012-a198-971125628657
b5b1fec3-14a6-4b5c-a638-a1e5439fac57;agency;"""Pace Suburban Bus"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Arlington Heights, IL""}";be7b517b-b3c3-41bd-b8db-4aaefb1b9753;;daily;;2025-11-20 01:34:16.837692+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Pace Suburban Bus;2025-11-20 01:34:16.837692+00;2025-11-20 01:34:16.837692+00;2babc540-acbb-4012-a198-971125628657
f4d37fb5-6e41-4081-80dc-b3a71fddd6a5;agency;"""Orange County Transportation Authority"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Orange, CA""}";b418d68f-585b-41a5-9a83-ef9ecc297aa4;;daily;;2025-11-20 01:34:17.551793+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Orange County Transportation Authority;2025-11-20 01:34:17.551793+00;2025-11-20 01:34:17.551793+00;2babc540-acbb-4012-a198-971125628657
59f23b26-5bb8-4c29-9531-f99f384376df;agency;"""TriMet"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Portland, OR""}";9b08bfa5-fdd4-438f-a0f3-ed048003de68;;daily;;2025-11-20 01:34:18.242866+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for TriMet;2025-11-20 01:34:18.242866+00;2025-11-20 01:34:18.242866+00;2babc540-acbb-4012-a198-971125628657
46f5f8f6-c8d3-44fa-adae-892319f38f7e;agency;"""Valley Metro"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Phoenix, AZ""}";9ef94ac6-6188-465f-a146-56a25505bf35;;daily;;2025-11-20 01:34:18.949964+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Valley Metro;2025-11-20 01:34:18.949964+00;2025-11-20 01:34:18.949964+00;2babc540-acbb-4012-a198-971125628657
b95e4219-651c-460f-867a-5f44f1a1b0f2;agency;"""Metropolitan Atlanta Rapid Transit Authority"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Atlanta, GA""}";57692d31-2c3e-4a4c-9fd7-9332b10fff2a;;daily;;2025-11-20 01:34:19.641876+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Metropolitan Atlanta Rapid Transit Authority;2025-11-20 01:34:19.641876+00;2025-11-20 01:34:19.641876+00;2babc540-acbb-4012-a198-971125628657
40ef76c5-8ff8-4a48-bdac-be36551f42ea;agency;"""Pittsburgh Regional Transit"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Pittsburgh, PA""}";f575051c-7644-4c8e-8817-ffcef8ce3956;;daily;;2025-11-20 01:34:20.336229+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Pittsburgh Regional Transit;2025-11-20 01:34:20.336229+00;2025-11-20 01:34:20.336229+00;2babc540-acbb-4012-a198-971125628657
0e6167f0-e35d-43b7-83d2-c8d5f30c8c28;agency;"""City and County of Honolulu"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Honolulu, HI""}";8e360caa-76c3-4467-ac38-1802fac10bd9;;daily;;2025-11-20 01:34:21.036273+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for City and County of Honolulu;2025-11-20 01:34:21.036273+00;2025-11-20 01:34:21.036273+00;2babc540-acbb-4012-a198-971125628657
7d7e16af-b183-4c7d-a4db-957e25c6a748;agency;"""VIA"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""San Antonio, TX""}";ff0d7ca9-5ea7-4750-be6d-ca746950dc70;;daily;;2025-11-20 01:34:21.72944+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for VIA;2025-11-20 01:34:21.72944+00;2025-11-20 01:34:21.72944+00;2babc540-acbb-4012-a198-971125628657
5f8b5105-8ed7-4474-a7c5-db888fc8e54c;agency;"""Metropolitan Council"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Saint Paul, MN""}";a179dae5-3a54-47a7-8186-a95b1ece91f8;;daily;;2025-11-20 01:34:22.426728+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Metropolitan Council;2025-11-20 01:34:22.426728+00;2025-11-20 01:34:22.426728+00;2babc540-acbb-4012-a198-971125628657
cbfd976f-23bc-4dda-949d-afce5fe7b6a5;agency;"""Montachusett Regional Transit Authority"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Fitchburg, MA""}";0cda8311-1373-4726-b12c-89ca24ea8b2c;;daily;;2025-11-20 01:34:23.365016+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Montachusett Regional Transit Authority;2025-11-20 01:34:23.365016+00;2025-11-20 01:34:23.365016+00;2babc540-acbb-4012-a198-971125628657
94d5d118-1369-4d15-9a0c-5d4c7a92ebae;agency;"""Metro Transit"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Minneapolis, MN""}";40d1aaab-35fe-4520-80c8-63f562467f46;;daily;;2025-11-20 01:34:24.270188+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Metro Transit;2025-11-20 01:34:24.270188+00;2025-11-20 01:34:24.270188+00;2babc540-acbb-4012-a198-971125628657
c0e1e81a-c5c6-4291-8e20-b86cb9a69aa8;agency;"""SF BART"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Oakland, CA""}";e367c0c1-9da7-4871-b144-26c1a81b3c96;;daily;;2025-11-20 01:34:24.959251+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for SF BART;2025-11-20 01:34:24.959251+00;2025-11-20 01:34:24.959251+00;2babc540-acbb-4012-a198-971125628657
4817b6cc-2afe-4d45-95cf-2a32a4e93758;agency;"""Community Transit"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Everett, WA""}";7ae493ef-72df-4a40-81ee-2d6778bbc995;;daily;;2025-11-20 01:34:25.675336+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Community Transit;2025-11-20 01:34:25.675336+00;2025-11-20 01:34:25.675336+00;2babc540-acbb-4012-a198-971125628657
94559947-1437-4c3e-9fc6-8f5bc0744f25;agency;"""MTC"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""San Francisco, CA""}";d2f4c2d7-dbb5-47d0-a7e7-e3dc7535fe04;;daily;;2025-11-20 01:34:26.375629+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for MTC;2025-11-20 01:34:26.375629+00;2025-11-20 01:34:26.375629+00;2babc540-acbb-4012-a198-971125628657
74fc3d13-2f58-473d-8910-c9e22fc19719;agency;"""Valley Transportation Authority"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""San Jose, CA""}";2ffcf739-9173-4d10-beba-83a441af6917;;daily;;2025-11-20 01:34:27.075384+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Valley Transportation Authority;2025-11-20 01:34:27.075384+00;2025-11-20 01:34:27.075384+00;2babc540-acbb-4012-a198-971125628657
a339adf0-2691-45b4-aef2-658638c893ac;agency;"""Pinellas Suncoast Transit Authority"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Saint Petersburg, FL""}";afabf2a0-3446-407b-b622-9d9937611d9a;;daily;;2025-11-20 01:34:27.776382+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Pinellas Suncoast Transit Authority;2025-11-20 01:34:27.776382+00;2025-11-20 01:34:27.776382+00;2babc540-acbb-4012-a198-971125628657
df056fed-1a53-4776-b59d-270f5aab4a87;agency;"""County of Miami-Dade"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Miami, FL""}";978894e1-3163-449a-a80b-7fce8464741e;;daily;;2025-11-20 01:34:12.794806+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for County of Miami-Dade;2025-11-20 01:34:12.794806+00;2025-11-20 01:34:12.794806+00;2babc540-acbb-4012-a198-971125628657
fd33c1e3-3eaf-40b5-9b06-0a8a93b4e792;agency;"""MTA Bus Company"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""New York, NY""}";bb94ded2-fbb6-41bb-aebf-438fa3fb7dc8;;daily;;2025-11-20 01:34:13.499241+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for MTA Bus Company;2025-11-20 01:34:13.499241+00;2025-11-20 01:34:13.499241+00;2babc540-acbb-4012-a198-971125628657
